person_id,branch,kernel,warnings
A151,GPR预测区间下界,0.137**2 * RBF(length_scale=100) + WhiteKernel(noise_level=0.00143),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A152,GPR预测区间下界,0.12**2 * RBF(length_scale=18.4) + WhiteKernel(noise_level=3.41e-06),
A153,无增长趋势,,
A154,GPR预测区间下界,0.124**2 * RBF(length_scale=13.1) + WhiteKernel(noise_level=1e-10),The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-10. Decreasing the bound and calling fit again may find a better value.
A155,GPR预测区间下界,0.0725**2 * RBF(length_scale=5.01) + WhiteKernel(noise_level=2.94e-05),
A156,单点观测,,
A157,无增长趋势,,
A158,无增长趋势,,
A159,无增长趋势,,
A160,GPR预测区间下界,0.0447**2 * RBF(length_scale=27.1) + WhiteKernel(noise_level=0.000221),
A161,GPR预测区间下界,0.0729**2 * RBF(length_scale=21.5) + WhiteKernel(noise_level=0.000223),
A162,GPR预测区间下界,0.115**2 * RBF(length_scale=14.6) + WhiteKernel(noise_level=1e-10),The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-10. Decreasing the bound and calling fit again may find a better value.
A163,GPR预测区间下界,0.0316**2 * RBF(length_scale=13.1) + WhiteKernel(noise_level=1.84e-05),
A164,单点观测,,
A165,GPR预测区间下界,0.0294**2 * RBF(length_scale=14.4) + WhiteKernel(noise_level=1e-10),The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-10. Decreasing the bound and calling fit again may find a better value.
A166,无增长趋势,,
A167,GPR预测区间下界,0.0982**2 * RBF(length_scale=100) + WhiteKernel(noise_level=0.000355),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A168,GPR预测区间下界,0.0744**2 * RBF(length_scale=61.4) + WhiteKernel(noise_level=3.39e-05),
A169,GPR预测区间下界,0.0875**2 * RBF(length_scale=22.9) + WhiteKernel(noise_level=3.3e-05),
A170,GPR预测区间下界,0.104**2 * RBF(length_scale=19.9) + WhiteKernel(noise_level=9.54e-06),
A171,GPR预测区间下界,0.129**2 * RBF(length_scale=82.5) + WhiteKernel(noise_level=9.69e-07),
A172,GPR预测区间下界,0.166**2 * RBF(length_scale=27.9) + WhiteKernel(noise_level=5.52e-07),
A173,GPR预测区间下界,0.114**2 * RBF(length_scale=8.06) + WhiteKernel(noise_level=3.58e-07),
A174,GPR预测区间下界,0.105**2 * RBF(length_scale=12.4) + WhiteKernel(noise_level=7.41e-06),
A175,GPR预测区间下界,0.093**2 * RBF(length_scale=14.4) + WhiteKernel(noise_level=1.48e-05),
A176,GPR预测区间下界,0.102**2 * RBF(length_scale=28.5) + WhiteKernel(noise_level=1.2e-05),
A177,GPR预测区间下界,0.0681**2 * RBF(length_scale=20.4) + WhiteKernel(noise_level=5.27e-05),
A178,GPR预测区间下界,0.0674**2 * RBF(length_scale=8.41) + WhiteKernel(noise_level=9.2e-07),
A179,GPR预测区间下界,0.0889**2 * RBF(length_scale=15.8) + WhiteKernel(noise_level=1.87e-05),
A180,GPR预测区间下界,0.0908**2 * RBF(length_scale=10.7) + WhiteKernel(noise_level=9.92e-06),
A181,GPR预测区间下界,0.0614**2 * RBF(length_scale=7.65) + WhiteKernel(noise_level=9.51e-07),
A182,GPR预测区间下界,0.0913**2 * RBF(length_scale=15.9) + WhiteKernel(noise_level=1.16e-05),
A183,GPR预测区间下界,0.0939**2 * RBF(length_scale=28.8) + WhiteKernel(noise_level=8.43e-06),
A184,GPR预测区间下界,0.0934**2 * RBF(length_scale=23) + WhiteKernel(noise_level=2.75e-05),
A185,GPR预测区间下界,0.144**2 * RBF(length_scale=29.3) + WhiteKernel(noise_level=2.45e-06),
A186,GPR预测区间下界,0.0999**2 * RBF(length_scale=22.7) + WhiteKernel(noise_level=1.7e-05),
A187,GPR预测区间下界,0.105**2 * RBF(length_scale=19.5) + WhiteKernel(noise_level=1.38e-05),
A188,GPR预测区间下界,0.103**2 * RBF(length_scale=15.3) + WhiteKernel(noise_level=4.11e-07),
A189,GPR预测区间下界,0.181**2 * RBF(length_scale=20.2) + WhiteKernel(noise_level=4.93e-08),
A190,GPR预测区间下界,0.105**2 * RBF(length_scale=24.6) + WhiteKernel(noise_level=7.07e-06),
A191,GPR预测区间下界,0.0978**2 * RBF(length_scale=5.89) + WhiteKernel(noise_level=1e-10),The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-10. Decreasing the bound and calling fit again may find a better value.
A192,GPR预测区间下界,0.111**2 * RBF(length_scale=22.5) + WhiteKernel(noise_level=1.28e-05),
A193,GPR预测区间下界,0.129**2 * RBF(length_scale=15.9) + WhiteKernel(noise_level=7.03e-06),
A194,GPR预测区间下界,0.0577**2 * RBF(length_scale=9.75) + WhiteKernel(noise_level=3.57e-06),
A195,GPR预测区间下界,0.133**2 * RBF(length_scale=27.8) + WhiteKernel(noise_level=1.48e-05),
A196,GPR预测区间下界,0.0978**2 * RBF(length_scale=18.8) + WhiteKernel(noise_level=9.46e-06),
A197,GPR预测区间下界,0.123**2 * RBF(length_scale=27) + WhiteKernel(noise_level=2.43e-05),
A198,GPR预测区间下界,0.106**2 * RBF(length_scale=39.8) + WhiteKernel(noise_level=1.4e-05),
A199,GPR预测区间下界,0.105**2 * RBF(length_scale=17.4) + WhiteKernel(noise_level=2.78e-06),
A200,GPR预测区间下界,0.0714**2 * RBF(length_scale=11.6) + WhiteKernel(noise_level=5.43e-06),
A201,GPR预测区间下界,0.0779**2 * RBF(length_scale=10.3) + WhiteKernel(noise_level=4.27e-07),
A202,GPR预测区间下界,0.0938**2 * RBF(length_scale=25.7) + WhiteKernel(noise_level=2.64e-05),
A203,GPR预测区间下界,0.133**2 * RBF(length_scale=21.6) + WhiteKernel(noise_level=1.5e-06),
A204,GPR预测区间下界,0.0632**2 * RBF(length_scale=13.5) + WhiteKernel(noise_level=1.27e-05),
A205,GPR预测区间下界,0.125**2 * RBF(length_scale=62.9) + WhiteKernel(noise_level=4.61e-08),
A206,GPR预测区间下界,0.121**2 * RBF(length_scale=21.8) + WhiteKernel(noise_level=4.85e-06),
A207,GPR预测区间下界,0.0975**2 * RBF(length_scale=7.01) + WhiteKernel(noise_level=1.22e-07),
A208,GPR预测区间下界,0.108**2 * RBF(length_scale=25.4) + WhiteKernel(noise_level=6e-05),
A209,GPR预测区间下界,0.093**2 * RBF(length_scale=12.6) + WhiteKernel(noise_level=2.31e-06),
A210,GPR预测区间下界,0.0672**2 * RBF(length_scale=8.52) + WhiteKernel(noise_level=1.93e-06),
A211,GPR预测区间下界,0.115**2 * RBF(length_scale=21.9) + WhiteKernel(noise_level=2.54e-06),
A212,GPR预测区间下界,0.115**2 * RBF(length_scale=30.5) + WhiteKernel(noise_level=3.72e-05),
A213,GPR预测区间下界,0.089**2 * RBF(length_scale=13) + WhiteKernel(noise_level=2.27e-05),
A214,GPR预测区间下界,0.164**2 * RBF(length_scale=30.4) + WhiteKernel(noise_level=5.79e-08),
A215,GPR预测区间下界,0.0716**2 * RBF(length_scale=20.4) + WhiteKernel(noise_level=7.83e-05),
A216,GPR预测区间下界,0.103**2 * RBF(length_scale=27.1) + WhiteKernel(noise_level=1.38e-05),
A217,GPR预测区间下界,0.072**2 * RBF(length_scale=8.24) + WhiteKernel(noise_level=3.08e-05),
A218,GPR预测区间下界,0.0463**2 * RBF(length_scale=14.4) + WhiteKernel(noise_level=4.12e-06),
A219,GPR预测区间下界,0.128**2 * RBF(length_scale=48.4) + WhiteKernel(noise_level=1.14e-05),
A220,GPR预测区间下界,0.151**2 * RBF(length_scale=8.05) + WhiteKernel(noise_level=1e-10),The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-10. Decreasing the bound and calling fit again may find a better value.
A221,GPR预测区间下界,0.0819**2 * RBF(length_scale=20.9) + WhiteKernel(noise_level=6.55e-06),
A222,GPR预测区间下界,0.112**2 * RBF(length_scale=14.2) + WhiteKernel(noise_level=3.64e-05),
A223,GPR预测区间下界,0.124**2 * RBF(length_scale=10.6) + WhiteKernel(noise_level=1.38e-07),
A224,GPR预测区间下界,0.12**2 * RBF(length_scale=24.9) + WhiteKernel(noise_level=1.29e-05),
A225,GPR预测区间下界,0.0873**2 * RBF(length_scale=9.78) + WhiteKernel(noise_level=9.35e-06),
A226,GPR预测区间下界,0.0951**2 * RBF(length_scale=58.3) + WhiteKernel(noise_level=1.69e-05),
A227,GPR预测区间下界,0.0551**2 * RBF(length_scale=16.2) + WhiteKernel(noise_level=1.51e-05),
A228,GPR预测区间下界,0.0833**2 * RBF(length_scale=12.5) + WhiteKernel(noise_level=9.15e-07),
A229,GPR预测区间下界,0.0919**2 * RBF(length_scale=14.5) + WhiteKernel(noise_level=1.36e-05),
A230,GPR预测区间下界,0.0644**2 * RBF(length_scale=11.4) + WhiteKernel(noise_level=2.2e-05),
A231,GPR预测区间下界,0.0924**2 * RBF(length_scale=20.9) + WhiteKernel(noise_level=8.65e-06),
A232,GPR预测区间下界,0.135**2 * RBF(length_scale=8.65) + WhiteKernel(noise_level=9.57e-08),
A233,GPR预测区间下界,0.116**2 * RBF(length_scale=24.5) + WhiteKernel(noise_level=1.77e-06),
A234,GPR预测区间下界,0.0672**2 * RBF(length_scale=14.8) + WhiteKernel(noise_level=2.44e-05),
A235,GPR预测区间下界,0.0849**2 * RBF(length_scale=15.1) + WhiteKernel(noise_level=1.12e-05),
